"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051098","GO:0051098","regulation of binding","17/1101","109/18860",0.155963302752294,2.67163296086127,4.3579846283839,0.000187990534930321,0.00572996909377666,0.00480610382726537,"GOLGA2/JUN/RSF1/NVL/NFIB/ZBTB7A/SKI/EDF1/HMGB1/GREM2/RB1/IFI16/PTPRF/RARA/SUMO1/ITGB1BP1/ZNF593",17
"GO:1900034","GO:1900034","regulation of cellular response to heat","6/1101","16/18860",0.375,6.42370572207084,5.40397457849814,0.000188258048020608,0.00572996909377666,0.00480610382726537,"CREBBP/EP300/DNAJB6/DNAJC7/MAPT/ATR",6
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","25/1101","196/18860",0.127551020408163,2.18493391907172,4.15205923172107,0.000196021297990808,0.00593216453805325,0.00497569851140577,"ATRX/USP10/USP2/PPP2R5C/NBN/EP300/SMARCA4/KDM1A/RBX1/RPS15/SPRED2/MIF/AARS1/PLK2/TAF9/IFI16/URI1/PIDD1/DVL2/RRS1/MORN3/USP15/COPS3/TP53/ATR",25
"GO:0043467","GO:0043467","regulation of generation of precursor metabolites and energy","20/1101","141/18860",0.141843971631206,2.42977048588968,4.24305145250422,0.000202073449797924,0.00605037844149494,0.00507485232610683,"PARK7/MACROH2A1/EP300/PPP1R3D/ZBTB7A/UCHL1/TMEM135/GHITM/PPP1CA/HMGB1/ATP7A/APP/VCP/SNCA/PINK1/TP53/SORBS1/PRKAG1/FLCN/MTCH2",20
"GO:0051258","GO:0051258","protein polymerization","33/1101","291/18860",0.11340206185567,1.9425639296984,4.03465856795351,0.00020386107564225,0.00605037844149494,0.00507485232610683,"CYRIA/GOLGA2/MAP1B/ADD1/WASL/ARPC4/TUBA1A/MKKS/WAS/SPTAN1/CAMSAP2/PDE4DIP/MAPT/SSH1/CHMP2A/BIN1/MSRB2/UBE2K/CAPZA2/NUMA1/CTTN/TUBGCP3/ARPC2/LRRC49/ARHGEF7/SNCA/PINK1/WASHC3/HSP90AA1/PPP2CB/MAP4/NAV3/RANBP9",33
"GO:0051168","GO:0051168","nuclear export","23/1101","174/18860",0.132183908045977,2.26429473728168,4.17165628247279,0.000205198474615348,0.00605037844149494,0.00507485232610683,"WNK1/ZC3H11A/ZC3H11C/PARK7/DDX39B/NUTF2/PPM1A/PTPN11/AGFG1/POM121/POM121C/WASHC4/HSPA9/RPS15/RBM10/METTL3/RAN/CSE1L/ANP32B/DHX9/AKAP8L/DDX25/RIOK2",23
"GO:0032386","GO:0032386","regulation of intracellular transport","32/1101","279/18860",0.114695340501792,1.96471764020327,4.04214153237361,0.00020563975065504,0.00605037844149494,0.00507485232610683,"WNK1/MAP1B/PARK7/LAMP1/PPM1A/EZR/UBE2J1/EP300/PTPN11/NDRG4/RBM10/STX18/ACTN2/RUFY3/VAMP2/RAB11B/DYNC1H1/DYNLL1/RAN/NUMA1/ANP32B/DHX9/OAZ1/PIK3R1/AKAP8L/SORL1/PGAP1/HSP90AA1/OS9/SUMO1/RIOK2/MTMR4",32
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","32/1101","279/18860",0.114695340501792,1.96471764020327,4.04214153237361,0.00020563975065504,0.00605037844149494,0.00507485232610683,"WNK1/L1CAM/DCHS1/FLRT3/PCDHGC3/PCDHGB4/PCDHGA8/PCDHGA12/PCDHGC5/PCDHGC4/PCDHGB7/PCDHGB6/PCDHGB5/PCDHGB3/PCDHGB2/PCDHGB1/PCDHGA11/PCDHGA10/PCDHGA9/PCDHGA7/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGA3/PCDHGA2/PCDHGA1/DAB1/PALLD/PTPRF/TGFB2/KIFAP3/CDH15",32
"GO:2000573","GO:2000573","positive regulation of DNA biosynthetic process","10/1101","45/18860",0.222222222222222,3.80664042789383,4.6933685447803,0.000216014217457958,0.00632050439589694,0.00530142481926481,"PTGES3/CCT3/VEGFA/DKC1/CTNNB1/CCT7/CCT4/CCT2/HSP90AA1/ATR",10
"GO:0050803","GO:0050803","regulation of synapse structure or activity","36/1101","329/18860",0.109422492401216,1.87439437482918,3.98381912433118,0.00021823101815316,0.00635028281395128,0.00532640194682668,"MAP1B/SNX27/ADGRB3/WASL/TUBB/NRXN2/RHOB/TUBA1A/ELMO1/YWHAZ/CAPRIN2/CRMP1/NTRK2/FLRT3/KIF1A/PAFAH1B1/CDC42/FLRT1/DAB1/DVL1/CTNNB1/CAMK2B/SIPA1L1/ABI2/SRGAP3/LZTS1/ARF4/APP/UBE2M/VCP/SNCA/SEMA4C/FGFR1/ASIC2/ZDHHC17/DISC1",36
