"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"2112","229811_at",1.83433515088242,5.68974578680366,4.23930369185258,0.000274995806560447,0.00706006391125918,0.327715316135465,NA,NA
"2187","231825_x_at",1.45670299581799,9.95172936169254,4.23923785859808,0.000275042270342607,0.00706006391125918,0.327554090098192,NA,NA
"492","201733_at",1.04662577309656,9.26968715937126,4.23873985984509,0.000275394000540186,0.00706246105981927,0.326334498091683,"CLCN3","chloride voltage-gated channel 3"
"1657","221531_at",-2.43855896080217,6.06874648413399,-4.23888745133366,0.000275289711979817,0.00706246105981927,0.326695945758647,"SKIC8","SKI8 subunit of superkiller complex"
"580","202600_s_at",1.38386422933604,7.76431309205474,4.23850521327139,0.000275559883274445,0.00706340207127533,0.325759857993519,"NRIP1","nuclear receptor interacting protein 1"
"907","208995_s_at",1.35218852461,8.71392501147081,4.23763686419213,0.000276174624022908,0.00707252813510656,0.323633339714974,"PPIG","peptidylprolyl isomerase G"
"1047","211036_x_at",-1.08893230632492,10.4360503491867,-4.23770685133784,0.000276125026749294,0.00707252813510656,0.323804730720926,"ANAPC5","anaphase promoting complex subunit 5"
"2526","240099_at",2.11658918001488,5.47208473969061,4.23659270945231,0.000276915629238344,0.00708818447032137,0.321076358215118,NA,NA
"247","1566039_a_at",2.06840256152714,5.9742503749474,4.23633898555487,0.000277095987525898,0.00708948203929737,0.320455037398108,NA,NA
"1160","212287_at",0.794469421374011,9.22969942802156,4.23590247382255,0.000277406552691282,0.00709410817043772,0.319386115215083,"SUZ12","SUZ12 polycomb repressive complex 2 subunit"
"110","1557193_at",1.45617349181627,6.78414829731824,4.23558981824919,0.000277629210369909,0.00709648297193772,0.318620498147935,NA,NA
"2313","235384_at",0.885906127348354,8.37239461215847,4.23521369826837,0.000277897299478567,0.00710001628457508,0.317699481506432,NA,NA
"2790","44822_s_at",1.22554300241088,7.19043490430378,4.23486685443946,0.000278144749167483,0.00710301922500333,0.316850163239847,"MIER2","MIER family member 2"
"209","1562110_at",3.29911751803978,3.77143948534476,4.23452411066044,0.00027838948875211,0.00710337519141848,0.316010893234001,NA,NA
"1581","219338_s_at",-1.21267236276326,9.30947457327339,-4.23448346229128,0.000278418528307449,0.00710337519141848,0.315911358922645,"LRRC49","leucine rich repeat containing 49"
"1550","218576_s_at",-1.86787458034443,6.57500727110751,-4.23422983207515,0.000278599791957177,0.00710468452670647,0.315290305707584,"DUSP12","dual specificity phosphatase 12"
"1934","225924_at",0.978659970256565,9.88766203527742,4.23404708325126,0.000278730470972318,0.0071047032635951,0.314842819511089,NA,NA
"1781","223323_x_at",2.88474682565555,4.45699675845363,4.23293908792537,0.000279524074790218,0.00712161173772374,0.312129788372475,NA,NA
